ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
23004.0,250000.0,2.0,1.0,1.0,32.0,1.0,-1.0,0.0,0.0,0.0,0.0,-154973.0,59514.0,220765.0,180488.0,173140.0,170233.0,225066.0,198031.0,6069.0,4310.0,5752.0,4638.0,0.0
22117.0,300000.0,2.0,1.0,2.0,29.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-5478.0,-8584.0,-14998.0,10980.0,1123.0,4665.0,1220.0,33.0,30044.0,12.0,11493.0,4983.0,0.0
21963.0,150000.0,2.0,1.0,2.0,27.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,-3706.0,-6108.0,32662.0,59350.0,41136.0,28596.0,3449.0,46128.0,60260.0,30218.0,17000.0,20133.0,0.0
19831.0,200000.0,2.0,2.0,2.0,35.0,1.0,-1.0,2.0,-1.0,0.0,0.0,-3258.0,7244.0,3498.0,10494.0,6996.0,3498.0,14000.0,0.0,10494.0,0.0,0.0,16248.0,0.0
23420.0,150000.0,2.0,2.0,1.0,32.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1474.0,137049.0,145900.0,146168.0,149712.0,-288.0,140916.0,10000.0,3119.0,3744.0,0.0,57916.0,0.0
392.0,280000.0,2.0,2.0,1.0,39.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1312.0,35918.0,37297.0,37154.0,32581.0,33316.0,38621.0,2000.0,1130.0,922.0,1011.0,5000.0,1.0
16780.0,50000.0,1.0,2.0,1.0,47.0,1.0,-1.0,2.0,2.0,-1.0,-1.0,-658.0,46342.0,25600.0,-400.0,40000.0,0.0,47000.0,0.0,0.0,20400.0,0.0,0.0,1.0
7484.0,310000.0,2.0,2.0,1.0,42.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-606.0,44878.0,19950.0,79227.0,20097.0,25594.0,45484.0,20033.0,79520.0,94.0,25910.0,10933.0,0.0
4778.0,20000.0,1.0,1.0,2.0,23.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-348.0,-738.0,-738.0,-1518.0,-1518.0,-1518.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22999.0,150000.0,2.0,4.0,3.0,49.0,1.0,-2.0,-1.0,-1.0,0.0,-1.0,-260.0,-2835.0,3960.0,10410.0,2361.0,2868.0,4.0,7920.0,10426.0,0.0,2868.0,4384.0,0.0
6939.0,260000.0,1.0,1.0,1.0,51.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-200.0,-200.0,-200.0,6682.0,1718.0,1512.0,0.0,0.0,6882.0,1734.0,1512.0,0.0,0.0
996.0,200000.0,1.0,1.0,2.0,39.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-200.0,-200.0,-200.0,0.0,60800.0,0.0,0.0,0.0,200.0,60800.0,0.0,0.0,0.0
9008.0,200000.0,2.0,1.0,1.0,58.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-200.0,-200.0,-200.0,0.0,5957.0,0.0,0.0,0.0,200.0,5957.0,0.0,0.0,0.0
4390.0,130000.0,2.0,2.0,2.0,27.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-191.0,191.0,2898.0,4728.0,5149.0,5561.0,382.0,2898.0,1900.0,500.0,500.0,1000.0,0.0
20154.0,240000.0,2.0,2.0,1.0,37.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-150.0,-150.0,-150.0,-150.0,-150.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28667.0,260000.0,2.0,1.0,1.0,35.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-124.0,-124.0,-124.0,1599.0,360.0,882.0,0.0,0.0,1723.0,366.0,882.0,0.0,1.0
13404.0,180000.0,2.0,2.0,1.0,33.0,1.0,-1.0,0.0,0.0,0.0,0.0,-84.0,482.0,6566.0,6905.0,7385.0,7847.0,982.0,6500.0,1000.0,1000.0,1000.0,1000.0,0.0
3374.0,120000.0,2.0,1.0,2.0,31.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-66.0,-33.0,-33.0,-33.0,-33.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27576.0,530000.0,1.0,2.0,1.0,54.0,-2.0,-2.0,-2.0,-2.0,-1.0,0.0,-30.0,-420.0,390.0,390.0,166210.0,129716.0,0.0,1200.0,390.0,166210.0,6000.0,3000.0,0.0
8667.0,230000.0,2.0,1.0,2.0,31.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-22.0,227.0,3480.0,3555.0,1850.0,1580.0,249.0,3480.0,3555.0,0.0,1580.0,520.0,1.0
23655.0,160000.0,2.0,2.0,1.0,36.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-20.0,-20.0,3640.0,2935.0,1603.0,14129.0,0.0,3660.0,3135.0,1650.0,14200.0,1500.0,1.0
5125.0,150000.0,2.0,1.0,1.0,40.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-15.0,17671.0,14517.0,1870.0,3495.0,0.0,17686.0,14517.0,0.0,3495.0,0.0,21754.0,0.0
28644.0,460000.0,2.0,1.0,2.0,35.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-14.0,693.0,224526.0,227242.0,228126.0,143697.0,707.0,224850.0,5000.0,4593.0,23584.0,0.0,0.0
25200.0,30000.0,2.0,2.0,2.0,24.0,1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-5.0,565.0,-25.0,-25.0,4897.0,6685.0,570.0,25.0,0.0,4922.0,6788.0,0.0,0.0
8756.0,190000.0,1.0,1.0,1.0,39.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-472.0,-472.0,-472.0,-472.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19224.0,330000.0,2.0,1.0,2.0,38.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2613.0,230000.0,2.0,2.0,2.0,25.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,13499.0,9078.0,11009.0,6172.0,0.0,13499.0,9117.0,11009.0,6172.0,869.0,0.0
302.0,440000.0,2.0,1.0,2.0,36.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162000.0,0.0,0.0
2434.0,100000.0,2.0,1.0,2.0,36.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,0.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,7600.0,0.0,0.0,0.0
11285.0,280000.0,2.0,1.0,1.0,32.0,1.0,-2.0,-1.0,0.0,0.0,-2.0,0.0,0.0,3508.0,3508.0,-200.0,-200.0,0.0,3508.0,0.0,0.0,0.0,0.0,1.0
9818.0,180000.0,2.0,1.0,1.0,28.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
